id,name,species,color,image_url,age_in_months,description,created_at,updated_at
37,Keke,Cat,Orange,http://community.warm1069.com/wp-content/uploads/2015/12/keke-300x300.jpg,17,"Looks up to Garfield.","2017-09-09 15:30:47.248704","2017-09-09 15:30:47.248704"
38,Rocko,Dog,Grey,https://www.polyvore.com/cgi/img-thing?.out=jpg&size=l&tid=117761067,6,"Chases squirrels like a pro.","2017-09-09 15:31:45.679381","2017-09-09 15:31:45.679381"
39,Benji,Cat,Tan,http://memphistn.gov/Portals/0/images/ADOPTcat.jpg,18,"Beautiful eyes.","2017-09-09 15:33:24.880881","2017-09-09 15:33:24.880881"
40,Santiago,Dog,Black/White,http://media.npr.org/assets/img/2014/07/03/punta-santiago-sato-pier-pack_sq-7b41efd7912d7d3d14430e00d5c1bebe3594cc76-s300-c85.jpg,18,Loyal.,"2017-09-09 15:34:22.504787","2017-09-09 15:34:22.504787"
41,Sophia,Cat,Black,http://www.caaws.org/wp-content/uploads/2016/08/sophia-1-300x300.jpg,18,"Only has three legs.","2017-09-09 15:35:06.830296","2017-09-09 15:35:06.830296"
42,Joe,Dog,Tan,http://speciesworld.com/wp-content/uploads/michigan-humane-society-adoptable-dogs-photograph-on-with-adopt-pet.jpg,11,"Loves fashion.","2017-09-09 15:35:58.154927","2017-09-09 15:35:58.154927"
43,Snowflake,Cat,White,http://www.petsandpeople.com/wp-content/uploads/2016/04/AdoptableCats.jpg,7,"Born on Christmas Day.","2017-09-09 15:36:47.921468","2017-09-09 15:36:47.921468"
44,Winston,Dog,Tan,http://i2.wp.com/shelter-friends.com/wp-content/uploads/2013/11/Dog-Winston-Needs-A-Home.jpg?resize=300%2C300,19,"Happy, loves people.","2017-09-09 15:38:34.257863","2017-09-09 15:38:34.257863"
45,Eileen,Cat,White/Black,https://www.polyvore.com/cgi/img-thing?.out=jpg&size=l&tid=110183103,13,"She sleeps a lot.","2017-09-09 15:43:03.220442","2017-09-09 15:43:03.220442"
46,Clark,Dog,Tan,http://www.pawsitivematch.org/perch/resources/clark-1-thumb2x-w380h380.jpg,16,"Rescue dog, needs a loving home.","2017-09-09 15:44:00.973598","2017-09-09 15:44:00.973598"
47,Oreo,Cat,Black/White,http://photos.petfinder.com/photos/pets/38919498/1/?bust=1501293712&width=300&-pn.jpg,8,"Named after her favorite food.","2017-09-09 15:45:36.764362","2017-09-09 15:45:36.764362"
48,Luke,Dog,Brown,http://gentlebensgiants.org/wp-content/uploads/2017/03/luke-300x300.jpg,41,"Enjoys long walks to the fridge.","2017-09-09 15:46:50.793510","2017-09-09 15:46:50.793510"
49,Buster,Cat,Tan,http://specialpalsshelter.org/wp-content/uploads/2016/02/abby-cat-for-adoptable-pals-website-300x300.jpg,38,"The greatest cat ever.","2017-09-09 15:48:15.988188","2017-09-09 15:48:15.988188"
50,Pinelope,Dog,Brown,http://speciesworld.com/wp-content/uploads/michigan-humane-society-adoptable-dogs-portrait-on-also-the-most-adorable-currently-up-for-adoption-at.jpg,20,"Hears everything.","2017-09-09 15:49:20.007504","2017-09-09 15:49:20.007504"
